moh_area,avg_temperature_2m_mean,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m_mean,temp_range,heat_humidity_index
MOH-Akkaraipathu,28.925396353083226,34.03461101325691,1.5030066655573686,78.06204480665619,10.156061595884893,21.365445849619082
MOH-Addalachchenai,29.104865604033467,31.822734148120148,0.2591166680043852,74.8591321950303,5.548527005506264,20.61357224838759
MOH-Agalawatta,29.234163899115828,30.40998183345505,3.783471661071172,79.08117189448421,2.5777036180119928,21.876165253499178
MOH-Akurana,29.284435397981444,36.18935047303495,10.106579148632171,69.47233214689773,13.622038260816472,19.244122819680822
MOH-Akmeemana,29.42811134173937,32.935814756358376,12.594359143738139,78.64447593734991,7.075193449279044,21.899243138086884
MOH-Akuressa,29.140759454223517,34.6053857234313,17.36260413435791,79.9547676341704,10.843769132485066,22.047794899382556
MOH-Alayadivembu,28.925396353083226,34.03461101325691,1.5030066655573686,78.06204480665619,10.156061595884893,21.365445849619082
MOH-Alawwa,30.562739071136285,37.03132807752566,11.661441645573401,75.44146141301522,12.796846983174014,21.81488280366963
MOH-Aluthgama,28.451336118780482,28.94019200400004,4.923704158828073,80.68273011300595,1.2435914334020786,21.72286216302368
MOH-Ambagamuwa(Ginigath Hena),27.330985495061398,33.449452061174036,6.582224155565385,71.80175093154624,12.081604187513548,18.56448881516296
MOH-Ambalangoda,28.55187911651171,29.168441953728507,5.027361658624155,81.84738854897581,1.4911199335559424,22.1150892351131
MOH-Ambalantota,29.112104699870116,34.20582344819547,12.905331643126384,77.62534884952188,10.128526336824605,21.38270578010905
MOH-Ambanganga  Korale,28.64528356140402,35.68989762899016,0.984719166576959,70.49145923472574,13.883334390500481,19.101098114778004
MOH-Ambanpola,29.772772737962022,36.374847259313185,0.673746667188713,69.47233214689773,13.044375483327876,19.565079954072907
MOH-Ampara,28.724310357620766,33.834829875638995,1.5030066655573686,78.06204480665619,10.156061595884893,21.21689408832341
MOH-Anamaduwa,29.59320294401405,35.375941571223606,1.088376666373041,73.25757397650855,11.462638521434519,20.509818733644533
MOH-Angunukolapelessa,29.011561702138888,34.10593287938651,12.905331643126384,77.62534884952188,10.128526336824605,21.30881776306773
MOH-Anuradhapura MC,29.00432260630224,35.54715400616216,0.05180166841222127,72.38408014953116,12.920563094686154,19.861310783549587
MOH-Aralaganwila,29.96672018058556,36.317809744523274,0.05180166841222127,73.84000510720227,12.562989835420712,20.93414151917316
MOH-Arachchikattuwa,29.270057749305877,33.948904905218825,0.881061666780877,77.04291771882816,9.330870318242434,21.337034840441778
MOH-Aranayaka,30.411924574539444,37.088365592315576,3.5761566614790077,72.38408014953116,13.195626853900308,20.82515184574213
MOH-Arayampathy,29.212647697601344,34.1772547455161,0.5700891673926312,77.33408232782064,9.880997836670739,21.375821201093387
MOH-Aththanagalla,30.07440173115571,34.71956064357994,4.923704158828073,75.00466354317213,9.275799800121854,21.34168920371997
MOH-Athuraliya,29.140759454223517,34.6053857234313,17.36260413435791,79.9547676341704,10.843769132485066,22.047794899382556
MOH-Ayagama,29.722501239096406,35.39022592256328,15.185796638640188,77.91651345851436,11.242645280340945,21.913109262019837
