Province,District,moh_area,week,cases,avg_temperature_2m_mean,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m_mean,temp_range,heat_humidity_index,week_sin,week_cos,moh_area_encoded,cases_log1p
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,1,5,-0.17455749408042334,-0.7471491281386643,0.20609369083045287,0.7507757645447266,-1.230130191354681,0.7671264339880196,0.16735969844253884,1.3664624940953911,0,1.791759469228055
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,2,3,-0.13996264958807245,-0.836773711007127,1.6922818707040066,0.016894317780042873,-1.4950155192533126,-0.0688044746888174,0.3368313836939203,1.335935254370064,0,1.3862943611198906
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,3,8,-0.2855854089047678,-0.6113528169561772,-0.674881591135271,0.1569100502026413,-0.5169766211194088,-0.0571901773192079,0.5013239412856375,1.2855513807530017,0,2.1972245773362196
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,4,11,0.21707305160462287,-0.2963058951662089,-0.970166951893362,-1.2811884203612909,-0.38792955231633997,-1.2827691865519002,0.6584386993230216,1.216045583576143,0,2.4849066497880004
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,5,4,-0.09501862793039535,-0.38593047423238186,0.03770780875906705,0.687187809139611,-0.5781036522924851,0.7802467953069526,0.8058845708422643,1.1284314138757514,0,1.6094379124341003
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,6,3,0.41961581093882544,-0.23112372359343697,-0.9457632060262378,-1.2296268130260632,-0.7818619490180404,-1.0296092198894533,0.941511463017427,1.0239864835359873,0,1.3862943611198906
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,7,5,0.5741087527973181,-0.1387824342712242,-0.623633729944222,-0.41951989763461967,-1.0467481802445284,0.13436386886534551,1.0633416303554326,0.9042338348307047,0,1.791759469228055
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,8,1,0.6123996656405883,0.18169717799096624,-0.9945706875963254,-0.5539705069102555,-0.27246576742611195,0.0035479713751472397,1.1695985146788481,0.7709197310375071,0,0.6931471805599453
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,9,4,0.6558665852744201,0.06219677472160256,-0.7578543373979811,-0.7357405600818506,-0.7648817102128093,-0.18298678358154022,1.2587326513445722,0.625988191986917,0,1.6094379124341003
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,10,4,0.42523333987518186,0.48044819567010355,-1.0848645562337722,-0.7648584269099311,0.7599080730148738,-0.4460964478238145,1.3294442639274229,0.47155264587569584,0,1.6094379124341003
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,11,4,0.9005412860230836,0.6189604908710616,-1.0921856809505361,-1.2443255630295427,0.42370756875828647,-0.597395258984987,1.3807022178872577,0.3098651107247097,0,1.6094379124341003
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,12,6,0.7047994420742663,0.3066295530995643,-0.5894685163115599,-0.456265183692224,0.009398891195535618,0.2200831764711045,1.4117590568324823,0.14328335488507926,0,1.9459101490553132
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,13,2,0.6768577063963204,0.1925603916295762,-0.09407234765128349,0.05649525091386415,-0.2792587643743181,0.8417536807406685,1.4221619021173642,-0.025763484533606256,0,1.0986122886681098
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,14,2,1.3799896590834981,0.8525293369774269,-0.9652861925318608,-0.4765099908178935,-0.04833300124957755,0.8747624625187583,1.4117590568324823,-0.19481032395229114,0,1.0986122886681098
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,15,2,0.9119260430664584,0.4152660240973316,0.40620443764517816,-0.20699125131049306,-0.27925785629210625,0.7505426219643323,1.3807022178872579,-0.36139207979192095,0,1.0986122886681098
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,16,1,1.1373842254912485,0.48044819567010355,-0.8432674733774831,0.05160802469953205,-0.25548643670309445,1.3221158816616003,1.3294442639274229,-0.5230796149429078,0,0.6931471805599453
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,17,4,1.6140224158755876,1.1186899913054567,-1.0238551877343292,-0.6786095910084105,0.2539088415609764,0.8369451125701419,1.2587326513445722,-0.677515161054129,0,1.6094379124341003
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,18,0,1.9095561729599215,1.4934871166312522,-0.860350080108401,-0.7679259188600991,0.3116398306782335,1.0058548964274396,1.1695985146788481,-0.8224467001047189,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,19,0,1.6839511277802677,1.2218944942662808,-0.6455971164503758,-0.6509428523344618,0.10448549189686061,0.9437468567164348,1.063341630355433,-0.9557608038979164,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,20,2,0.7175153921376433,0.5048913294010735,1.7532913317605183,0.6351760337032812,-0.1705870731044402,1.6203308416098248,0.941511463017427,-1.0755134526031995,0,1.0986122886681098
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,21,1,1.3186345727625468,1.0888148895375422,-0.3771558608862142,-0.7102430971456635,0.09429825479418981,0.5028314909191024,0.8058845708422643,-1.1799583829429636,0,0.6931471805599453
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,22,2,1.5028448018805811,1.281644697802107,-0.6992853675290428,-0.4719913734902669,0.34559939545212465,1.004635745279791,0.6584386993230223,-1.2675725526433546,0,1.0986122886681098
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,23,2,1.421828833706711,1.257201564071137,-0.7871388527395196,-1.136106455172985,0.28107631271451744,0.03551775452476045,0.5013239412856378,-1.3370783498202135,0,1.0986122886681098
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,24,0,1.81050233892827,1.7243407011544258,-0.9628458230408948,-1.7907563766379686,0.8244320590803388,-0.4948322697274895,0.33683138369392024,-1.3874622234372762,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,25,2,1.8771783972275091,1.8655689841761447,-0.6529182452857604,-2.2199213126396944,0.8753709545772425,-1.0272932819479415,0.16735969844253887,-1.417989463162603,0,1.0986122886681098
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,26,1,1.812129135155322,1.8547035956271205,-0.9750476908923764,-2.0954993671424598,0.9976241183498948,-0.9116080111950016,-0.004619835680541901,-1.4282149130996422,0,0.6931471805599453
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,27,2,1.4856956581134415,1.471759244483477,-0.4430459799188587,-1.1683659580605292,0.5493576874233242,0.05268397125484492,-0.17659936980362143,-1.417989463162603,0,1.0986122886681098
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,28,0,1.4481437681901512,1.2490543344510006,-0.733450621989174,-1.2776103871101943,0.4338957091888116,-0.12900240723201228,-0.3460710550550028,-1.3874622234372764,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,29,3,2.2518057081492557,2.2620939816497185,-1.0946260556961172,-2.61611224810683,1.4594783640916609,-1.269977737170259,-0.5105636126467203,-1.3370783498202137,0,1.3862943611198906
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,30,0,2.2713225735980163,2.297399602781728,-0.8749923379499963,-2.6107065920637327,1.3575987616877738,-1.2465228260622245,-0.6676783706841037,-1.2675725526433554,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,31,1,1.6440334187099455,1.3685547415226555,-0.7480928390033003,-1.6669445397684373,0.26749302880167664,-0.474367973700286,-0.8151242422033466,-1.1799583829429638,0,0.6931471805599453
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,32,0,0.9233079587265812,0.6759939841508492,-0.584587736536324,-0.2695708315574801,-0.010977394419867188,0.6815558262769389,-0.9507511343785093,-1.0755134526031995,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,33,2,0.9114816795374114,0.6352556725466161,0.0816345817713746,-0.49155616369351407,-0.10606399036683296,0.38325024553740056,-1.0725813017165153,-0.9557608038979166,0,1.0986122886681098
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,34,4,1.0797252075212165,0.8715405026714523,-0.6431567265627577,-1.1161624644640846,0.06712988031279274,-0.26234085663460427,-1.1788381860399306,-0.8224467001047192,0,1.6094379124341003
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,35,0,1.400687064630582,1.7297726691913677,-0.5797069567610882,-1.899178853574315,1.0485657285847276,-1.0026853881171294,-1.2679723227056543,-0.6775151610541299,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,36,1,1.5911050952178611,1.6944655993865114,-0.7188083643184049,-1.834565576976092,1.0485666366669428,-0.7484910996589595,-1.3386839352885054,-0.5230796149429084,0,0.6931471805599453
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,37,0,1.9309926014269836,2.1154322819182054,-0.6577989844043531,-2.1894751882119436,1.2896778207299235,-0.9396199815692534,-1.3899418892483404,-0.36139207979192134,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,38,1,1.683655519605766,1.7786589366533074,-0.9042768329632133,-2.1235887334869115,1.327034335641846,-1.0600584376692619,-1.4209987281935648,-0.1948103239522921,0,0.6931471805599453
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,39,0,1.4324726752304222,1.4174410089845926,-0.44060567151535307,-1.3113718590334797,0.7463238857741736,-0.18878168406135032,-1.4314015734784467,-0.02576348453360629,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,40,1,1.112249836073585,0.9774617120860264,-0.4430459392622157,-0.8873515384980074,0.23013651388975437,0.06771853677879691,-1.4209987281935648,0.14328335488507954,0,0.6931471805599453
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,41,0,-0.05539747085069138,-0.2908732008916968,1.360390805023185,0.8423577547820938,-0.7207330969261828,1.0105962186222182,-1.3899418892483406,0.30986511072470874,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,42,0,0.3816205112375087,0.1491053697693032,-0.17948554478657622,0.4392982731311396,-0.2249229187393783,1.0044180091594088,-1.3386839352885056,0.47155264587569584,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,43,0,0.1168367799075145,-0.013850059162626075,1.4604463406300545,0.762065954141928,-0.2894469048048433,1.1075493122755502,-1.2679723227056552,0.6259881919869162,0,0.0
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,44,0,0.012608831684983286,-0.14421367987289097,1.245693336315386,0.9015287760111405,-0.39472164593669007,1.158778337910981,-1.1788381860399315,0.7709197310375056,0,0.0
