Province,District,moh_area,week,cases,avg_temperature_2m_mean,avg_temperature_2m_max,avg_precipitation_sum,avg_relative_humidity_2m_mean,temp_range,heat_humidity_index,week_sin,week_cos,moh_area_encoded,cases_log1p,area_encoded,cases_lag1,cases_lag2,cases_lag3,cases_roll_mean4,cases_trend,temp_lag1,precip_lag1,humidity_lag1
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,4,11,0.2170730516046228,-0.2963058951662089,-0.970166951893362,-1.2811884203612909,-0.3879295523163399,-1.2827691865519002,0.6584386993230216,1.216045583576143,0,2.4849066497880004,0,8.0,3.0,5.0,5.333333333333333,5.0,-0.2855854089047678,-0.674881591135271,0.1569100502026413
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,5,4,-0.0950186279303953,-0.3859304742323818,0.037707808759067,0.687187809139611,-0.5781036522924851,0.7802467953069526,0.8058845708422643,1.1284314138757514,0,1.6094379124341003,0,11.0,8.0,3.0,6.75,3.0,0.2170730516046228,-0.970166951893362,-1.2811884203612909
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,6,3,0.4196158109388254,-0.2311237235934369,-0.9457632060262378,-1.2296268130260632,-0.7818619490180404,-1.0296092198894533,0.941511463017427,1.023986483535987,0,1.3862943611198906,0,4.0,11.0,8.0,6.5,-7.0,-0.0950186279303953,0.037707808759067,0.687187809139611
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,7,5,0.5741087527973181,-0.1387824342712242,-0.623633729944222,-0.4195198976346196,-1.0467481802445284,0.1343638688653455,1.0633416303554326,0.9042338348307049,0,1.791759469228055,0,3.0,4.0,11.0,6.5,-1.0,0.4196158109388254,-0.9457632060262378,-1.2296268130260632
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,8,1,0.6123996656405883,0.1816971779909662,-0.9945706875963254,-0.5539705069102555,-0.2724657674261119,0.0035479713751472,1.169598514678848,0.7709197310375071,0,0.6931471805599453,0,5.0,3.0,4.0,5.75,2.0,0.5741087527973181,-0.623633729944222,-0.4195198976346196
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,9,4,0.6558665852744201,0.0621967747216025,-0.7578543373979811,-0.7357405600818506,-0.7648817102128093,-0.1829867835815402,1.2587326513445722,0.625988191986917,0,1.6094379124341003,0,1.0,5.0,3.0,3.25,-4.0,0.6123996656405883,-0.9945706875963254,-0.5539705069102555
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,10,4,0.4252333398751818,0.4804481956701035,-1.0848645562337722,-0.7648584269099311,0.7599080730148738,-0.4460964478238145,1.3294442639274229,0.4715526458756958,0,1.6094379124341003,0,4.0,1.0,5.0,3.25,3.0,0.6558665852744201,-0.7578543373979811,-0.7357405600818506
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,11,4,0.9005412860230836,0.6189604908710616,-1.092185680950536,-1.244325563029543,0.4237075687582864,-0.597395258984987,1.3807022178872577,0.3098651107247097,0,1.6094379124341003,0,4.0,4.0,1.0,3.5,0.0,0.4252333398751818,-1.0848645562337722,-0.7648584269099311
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,12,6,0.7047994420742663,0.3066295530995643,-0.5894685163115599,-0.456265183692224,0.0093988911955356,0.2200831764711045,1.4117590568324825,0.1432833548850792,0,1.9459101490553132,0,4.0,4.0,4.0,3.25,0.0,0.9005412860230836,-1.092185680950536,-1.244325563029543
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,13,2,0.6768577063963204,0.1925603916295762,-0.0940723476512834,0.0564952509138641,-0.2792587643743181,0.8417536807406685,1.4221619021173642,-0.0257634845336062,0,1.0986122886681098,0,6.0,4.0,4.0,4.5,2.0,0.7047994420742663,-0.5894685163115599,-0.456265183692224
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,14,2,1.379989659083498,0.8525293369774269,-0.9652861925318608,-0.4765099908178935,-0.0483330012495775,0.8747624625187583,1.4117590568324825,-0.1948103239522911,0,1.0986122886681098,0,2.0,6.0,4.0,4.0,-4.0,0.6768577063963204,-0.0940723476512834,0.0564952509138641
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,15,2,0.9119260430664584,0.4152660240973316,0.4062044376451781,-0.206991251310493,-0.2792578562921062,0.7505426219643323,1.380702217887258,-0.3613920797919209,0,1.0986122886681098,0,2.0,2.0,6.0,3.5,0.0,1.379989659083498,-0.9652861925318608,-0.4765099908178935
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,16,1,1.1373842254912483,0.4804481956701035,-0.8432674733774831,0.051608024699532,-0.2554864367030944,1.3221158816616003,1.3294442639274229,-0.5230796149429078,0,0.6931471805599453,0,2.0,2.0,2.0,3.0,0.0,0.9119260430664584,0.4062044376451781,-0.206991251310493
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,17,4,1.6140224158755876,1.1186899913054569,-1.0238551877343292,-0.6786095910084105,0.2539088415609764,0.8369451125701419,1.2587326513445722,-0.677515161054129,0,1.6094379124341003,0,1.0,2.0,2.0,1.75,-1.0,1.1373842254912483,-0.8432674733774831,0.051608024699532
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,18,0,1.9095561729599213,1.4934871166312522,-0.860350080108401,-0.7679259188600991,0.3116398306782335,1.0058548964274396,1.169598514678848,-0.8224467001047189,0,0.0,0,4.0,1.0,2.0,2.25,3.0,1.6140224158755876,-1.0238551877343292,-0.6786095910084105
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,19,0,1.6839511277802677,1.2218944942662808,-0.6455971164503758,-0.6509428523344618,0.1044854918968606,0.9437468567164348,1.063341630355433,-0.9557608038979164,0,0.0,0,0.0,4.0,1.0,1.75,-4.0,1.9095561729599213,-0.860350080108401,-0.7679259188600991
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,20,2,0.7175153921376433,0.5048913294010735,1.7532913317605183,0.6351760337032812,-0.1705870731044402,1.6203308416098248,0.941511463017427,-1.0755134526031995,0,1.0986122886681098,0,0.0,0.0,4.0,1.25,0.0,1.6839511277802677,-0.6455971164503758,-0.6509428523344618
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,21,1,1.3186345727625468,1.0888148895375422,-0.3771558608862142,-0.7102430971456635,0.0942982547941898,0.5028314909191024,0.8058845708422643,-1.1799583829429636,0,0.6931471805599453,0,2.0,0.0,0.0,1.5,2.0,0.7175153921376433,1.7532913317605183,0.6351760337032812
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,22,2,1.5028448018805811,1.281644697802107,-0.6992853675290428,-0.4719913734902669,0.3455993954521246,1.004635745279791,0.6584386993230223,-1.2675725526433546,0,1.0986122886681098,0,1.0,2.0,0.0,0.75,-1.0,1.3186345727625468,-0.3771558608862142,-0.7102430971456635
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,23,2,1.421828833706711,1.257201564071137,-0.7871388527395196,-1.136106455172985,0.2810763127145174,0.0355177545247604,0.5013239412856378,-1.3370783498202137,0,1.0986122886681098,0,2.0,1.0,2.0,1.25,1.0,1.5028448018805811,-0.6992853675290428,-0.4719913734902669
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,24,0,1.81050233892827,1.7243407011544258,-0.9628458230408948,-1.7907563766379686,0.8244320590803388,-0.4948322697274895,0.3368313836939202,-1.3874622234372762,0,0.0,0,2.0,2.0,1.0,1.75,0.0,1.421828833706711,-0.7871388527395196,-1.136106455172985
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,25,2,1.877178397227509,1.8655689841761447,-0.6529182452857604,-2.2199213126396944,0.8753709545772425,-1.0272932819479417,0.1673596984425388,-1.417989463162603,0,1.0986122886681098,0,0.0,2.0,2.0,1.25,-2.0,1.81050233892827,-0.9628458230408948,-1.7907563766379686
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,26,1,1.812129135155322,1.8547035956271205,-0.9750476908923764,-2.09549936714246,0.9976241183498948,-0.9116080111950016,-0.0046198356805419,-1.4282149130996422,0,0.6931471805599453,0,2.0,0.0,2.0,1.5,2.0,1.877178397227509,-0.6529182452857604,-2.2199213126396944
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,27,2,1.4856956581134415,1.471759244483477,-0.4430459799188587,-1.1683659580605292,0.5493576874233242,0.0526839712548449,-0.1765993698036214,-1.417989463162603,0,1.0986122886681098,0,1.0,2.0,0.0,1.25,-1.0,1.812129135155322,-0.9750476908923764,-2.09549936714246
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,28,0,1.4481437681901512,1.2490543344510006,-0.733450621989174,-1.2776103871101945,0.4338957091888116,-0.1290024072320122,-0.3460710550550028,-1.3874622234372764,0,0.0,0,2.0,1.0,2.0,1.25,1.0,1.4856956581134415,-0.4430459799188587,-1.1683659580605292
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,29,3,2.251805708149256,2.2620939816497185,-1.0946260556961172,-2.61611224810683,1.4594783640916609,-1.269977737170259,-0.5105636126467203,-1.3370783498202137,0,1.3862943611198906,0,0.0,2.0,1.0,1.25,-2.0,1.4481437681901512,-0.733450621989174,-1.2776103871101945
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,30,0,2.2713225735980163,2.297399602781728,-0.8749923379499963,-2.6107065920637327,1.3575987616877738,-1.2465228260622243,-0.6676783706841037,-1.2675725526433554,0,0.0,0,3.0,0.0,2.0,1.5,3.0,2.251805708149256,-1.0946260556961172,-2.61611224810683
Eastern Province,Kalmunai RDHS,MOH-Addalachchenai,31,1,1.6440334187099457,1.3685547415226555,-0.7480928390033003,-1.6669445397684373,0.2674930288016766,-0.474367973700286,-0.8151242422033466,-1.1799583829429638,0,0.6931471805599453,0,0.0,3.0,0.0,1.25,-3.0,2.2713225735980163,-0.8749923379499963,-2.6107065920637327
